x;y;t;f;did
3.408993710691824;-9.26025157232704;34.1;1;U473129
6.410943396226415;-9.26025157232704;34.2;1;U473129
9.209371069182392;-10.074339622641507;34.3;1;U473129
10.379622641509435;-8.547924528301886;34.4;1;U473129
13.127169811320757;-10.12522012578616;34.5;1;U473129
11.397232704402516;-11.448113207547168;34.6;1;U473129
9.3111320754717;-12.058679245283017;34.7;1;U473129
7.326792452830187;-12.36396226415094;76.3;1;U473129
7.377672955974845;-15.213270440251572;76.4;1;U473129
7.4794339622641495;-12.21132075471698;76.5;1;U473129
15.264150943396228;-11.397232704402514;76.6;1;U473129
15.060628930817613;-15.264150943396226;76.7;1;U473129
37.54981132075473;-23.048867924528302;100.4;1;U413016
41.72201257861636;-21.1662893081761;100.5;1;U413016
41.62025157232705;-18.21522012578616;100.6;1;U413016
38.61830188679246;-17.502893081761005;100.7;1;U413016
36.27779874213837;-16.07823899371069;100.8;1;U413016
38.77094339622642;-16.027358490566037;100.9;1;U413016
39.737672955974844;-14.297421383647798;100.10;1;U413016
39.7885534591195;-10.328742138364776;100.11;1;U413016
35.76899371069183;-9.463773584905658;100.12;1;U413016
30.782704402515726;-22.03125786163522;100.13;1;U921158
33.83553459119497;-20.046918238993708;100.14;1;U921158
30.986226415094343;-19.996037735849054;100.15;1;U921158
30.93534591194969;-18.011698113207547;100.16;1;U921158
31.698553459119502;-16.129119496855346;100.17;1;U921158
28.951006289308182;-14.297421383647798;100.18;1;U921158
26.966666666666672;-14.19566037735849;100.19;1;U921158
25.949056603773588;-11.448113207547168;100.20;1;U921158
