x;y;t;f;did;
3.40899371069182;9.26025157232704;34.10;1;U547557;
6.41094339622641;9.26025157232704;34.20;1;U547557;
9.20937106918239;10.07433962264150;34.30;1;U547557;
10.37962264150940;8.54792452830188;34.40;1;U547557;
13.12716981132070;10.12522012578610;34.50;1;U547557;
11.39723270440250;11.44811320754710;34.60;1;U547557;
9.31113207547170;12.05867924528300;34.70;1;U547557;
7.32679245283018;12.36396226415090;76.30;1;U547557;
7.37767295597484;15.21327044025150;76.40;1;U547557;
7.47943396226414;12.21132075471690;76.50;1;U547557;
15.26415094339620;11.39723270440250;76.60;1;U547557;
15.06062893081760;15.26415094339620;76.70;1;U547557;
37.54981132075470;23.04886792452830;100.40;1;U296417;
41.72201257861630;21.16628930817610;100.50;1;U296417;
41.62025157232700;18.21522012578610;100.60;1;U296417;
38.61830188679240;17.50289308176100;100.70;1;U296417;
36.27779874213830;16.07823899371060;100.80;1;U296417;
38.77094339622640;16.02735849056600;100.90;1;U296417;
39.73767295597480;14.29742138364770;100.10;1;U296417;
39.78855345911950;10.32874213836470;100.11;1;U296417;
35.76899371069180;9.46377358490565;100.12;1;U296417;
30.78270440251570;22.03125786163520;12.40;1;U967197;
33.83553459119490;20.04691823899370;12.40;1;U967197;
30.98622641509430;19.99603773584900;12.40;1;U967197;
30.93534591194960;18.01169811320750;12.40;1;U967197;
31.69855345911950;16.12911949685530;12.40;1;U967197;
28.95100628930810;14.29742138364770;12.40;1;U967197;
26.96666666666660;14.19566037735840;12.40;1;U967197;
25.94905660377350;11.44811320754710;12.40;1;U967197;
