x;y;t;f;did;
3.40899371069182;9.26025157232704;34.10;1;U547557;
26.96666666666660;14.19566037735840;13.60;0;U967197;
25.94905660377350;11.44811320754710;13.65;0;U967197;
39.78855345911950;10.32874213836470;100.11;1;U296417;
6.41094339622641;9.26025157232704;34.20;1;U547557;
31.69855345911950;16.12911949685530;13.40;1;U967197;
9.20937106918239;10.07433962264150;34.30;1;U547557;
38.61830188679240;17.50289308176100;100.70;1;U296417;
10.37962264150940;8.54792452830188;34.40;1;U547557;
13.12716981132070;10.12522012578610;34.50;1;U547557;
36.27779874213830;16.07823899371060;100.80;2;U296417;
38.77094339622640;16.02735849056600;100.90;2;U296417;
11.39723270440250;11.44811320754710;34.60;1;U547557;
33.83553459119490;20.04691823899370;12.50;3;U967197;
30.98622641509430;19.99603773584900;12.60;3;U967197;
7.37767295597484;15.21327044025150;76.40;2;U547557;
7.47943396226414;12.21132075471690;76.50;3;U547557;
30.93534591194960;18.01169811320750;12.70;3;U967197;
15.26415094339620;11.39723270440250;76.60;3;U547557;
15.06062893081760;15.26415094339620;76.69;3;U547557;
37.54981132075470;23.04886792452830;100.40;1;U296417;
9.31113207547170;12.05867924528300;34.70;2;U547557;
7.32679245283018;12.36396226415090;76.30;2;U547557;
35.76899371069180;9.46377358490565;100.12;1;U296417;
30.78270440251570;22.03125786163520;12.40;1;U967197;
41.72201257861630;21.16628930817610;100.50;1;U296417;
41.62025157232700;18.21522012578610;100.60;1;U296417;
28.95100628930810;14.29742138364770;13.50;1;U967197;
39.73767295597480;14.29742138364770;100.10;2;U296417;
14.12716981132070;11.12522012578610;34.55;1;U547557;
37.27779874213830;17.07823899371060;100.85;2;U296417;
39.77094339622640;17.02735849056600;100.95;2;U296417;
12.39723270440250;12.44811320754710;34.65;1;U547557;
32.83553459119490;21.04691823899370;12.55;3;U967197;
31.98622641509430;18.99603773584900;12.65;3;U967197;
8.37767295597484;14.21327044025150;76.45;2;U547557;
8.47943396226414;13.21132075471690;76.55;3;U547557;
31.93534591194960;19.01169811320750;12.75;3;U967197;
14.26415094339620;12.39723270440250;76.65;3;U547557;
13.06062893081760;16.26415094339620;76.75;3;U547557;
38.54981132075470;24.04886792452830;100.45;1;U296417;
10.31113207547170;13.05867924528300;34.75;2;U547557;
6.32679245283018;13.36396226415090;76.35;2;U547557;
36.76899371069180;10.46377358490565;100.15;1;U296417;
31.78270440251570;23.03125786163520;12.45;1;U967197;
42.72201257861630;22.16628930817610;100.55;1;U296417;
42.62025157232700;19.21522012578610;100.65;1;U296417;
29.95100628930810;15.29742138364770;13.55;1;U967197;
38.73767295597480;13.29742138364770;100.15;2;U296417;
